#TimestampInMS,phone_lat,phone_long
1290023428995,56.1456450159,10.203205817
1290023440094,56.1453570138,10.2040841563
1290023441150,56.145391128199996,10.2040848269
1290023442145,56.1453985042,10.2040180231
1290023442995,56.145388529799995,10.2040084678
1290023443995,56.1453770466,10.2040274947
1290023453017,56.14528333689999,10.204548262100001
1290023460105,56.145267411300004,10.2049417085
1290023468109,56.145143610699996,10.205218898
1290023473070,56.1451191355,10.205299699500001
1290023478119,56.14538961939999,10.2059045374
1290023484114,56.1455123304,10.206054573400001
1290023489108,56.144873545799996,10.2063442518
1290023495108,56.144992736499994,10.2062704073
1290023502092,56.145143443,10.206609539
1290023508108,56.144557464399995,10.2067765902
1290023513082,56.1447454704,10.2070600661
1290023518103,56.1448167166,10.2073681009
1290023525074,56.144573054700004,10.2076292809
1290023532103,56.1449998611,10.2079090688
1290023537063,56.1448810057,10.2078560113
1290023544048,56.144983851599996,10.2081363021
1290023551118,56.1447814288,10.208441822300001
1290023556084,56.1446675187,10.208409384400001
1290023563122,56.1444002199,10.208599318200001
1290023568138,56.1443442288,10.2083787066
1290023573072,56.1443292252,10.2082523076
1290023580120,56.1440041752,10.2084313449
1290023586106,56.1438260598,10.2079226474
1290023592159,56.1435414105,10.2084149164
1290023597145,56.143467146800006,10.2081620345
1290023604098,56.143187275200006,10.207426355099999
1290023611100,56.143024833999995,10.2076795723
1290023616110,56.1429659092,10.207813934199999
1290023623120,56.1428684277,10.2079536605
1290023630100,56.142495349300006,10.2074120221
1290023635076,56.142339613599994,10.2072947593
1290023641102,56.1423481632,10.207477987599999
1290023648083,56.1421076027,10.207230973
1290023655070,56.1419189261,10.2070930908
1290023660077,56.1417583289,10.207036848200001
1290023667089,56.1414792116,10.2071175659
1290023675133,56.1414839055,10.2079166125
1290023682107,56.1411117491,10.2072200766
1290023689117,56.1408857731,10.2071681926
1290023695103,56.140601458999996,10.2069768338
1290023700025,56.1405515029,10.2061995803
1290023708078,56.1403000459,10.2068652707
1290023715097,56.1401394487,10.2069133829
1290023721072,56.1399636803,10.2065077827
1290023728085,56.1398212718,10.2068019036
1290023733105,56.139578783400005,10.206736021900001
1290023740066,56.1394512947,10.206467465800001
1290023745089,56.1392836567,10.206610041900001
1290023752081,56.1390354687,10.206541478
1290023757086,56.138869506999995,10.2066853114
1290023764086,56.138648727799996,10.2067987185
1290023771111,56.1384671758,10.2068845491
1290023778067,56.138052690900004,10.206569725
1290023785086,56.13813139689999,10.2068766701
1290023790107,56.13791665270001,10.2071453938
1290023797104,56.1377699694,10.2070344175
1290023804081,56.1375282354,10.2071349165
1290023809100,56.1375453345,10.207377321000001
1290023816087,56.1372554884,10.2071878063
1290023821075,56.1369254092,10.2069762471
1290023828082,56.1369159376,10.2074629002
1290023835098,56.1368060509,10.2076210667
1290023842093,56.1365154504,10.2075200648
1290023847102,56.1365120139,10.2077607091
1290023854108,56.1362607245,10.2083129925
1290023859101,56.1361434617,10.208532765900001
1290023865109,56.1358676134,10.2082420816
1290023870115,56.13589158560001,10.208648268500001
1290023875088,56.135529152299995,10.2084677224
1290023882106,56.1356229457,10.2089065987
1290023887066,56.1353051879,10.2081393195
1290023892089,56.1351548166,10.2087223645
1290023897103,56.1349583449,10.2089883222
1290023904095,56.1351283298,10.2092971952
1290023911081,56.1346732764,10.2089885737
1290023918098,56.1346571832,10.209602883099999
1290023925097,56.1345426864,10.2099654003
1290023931087,56.1342634854,10.209622748200001
1290023936083,56.1336390338,10.2097318805
1290023941169,56.1346456162,10.2102628739
1290023948091,56.1340469809,10.2099944017
1290023953090,56.1336275506,10.2099271788
1290023960067,56.1334784366,10.2101482095
1290023965103,56.1333678793,10.210548361399999
1290023970104,56.133580611999996,10.2106564879
1290023977099,56.1328603553,10.2106476031
1290023985083,56.1328645462,10.2108117207
1290023990084,56.1325731076,10.2107973039
1290023997097,56.1325820762,10.2111585637
1290024004098,56.1324626341,10.2112706298
1290024009103,56.1323619675,10.2113386908
1290024014087,56.132108415,10.211125874299999
1290024024128,56.1318076725,10.212234045299999
1290024031081,56.131909764,10.2120305328
1290024036124,56.131666018400004,10.2123424233
1290024042101,56.1315442294,10.2122842529
1290024048095,56.130917095600005,10.2120629708
1290024056115,56.130854901899994,10.2125962272
1290024064077,56.130700339700006,10.2124225543
1290024071059,56.130613587,10.2123396573
1290024079108,56.1304923009,10.2128693934
